Asset Combination,Confidence Level,Method,Breach Rate,Expected Breach Rate,Breach Ratio,Kupiec p-value,Christoffersen p-value,Avg Computation Time (s)
"AUDUSD1440, EURUSD1440, GBPUSD1440",99%,Parametric (Variance-Covariance) VaR,0.014515292897874546,0.010000000000000009,1.4515292897874534,0.044192412235736556,0.0005073234037753505,0.0002614
"AUDUSD1440, EURUSD1440, GBPUSD1440",99%,Monte Carlo VaR,0.01088646967340591,0.010000000000000009,1.08864696734059,0.4498850746973678,0.0010835149443243486,0.055601
"AUDUSD1440, EURUSD1440, GBPUSD1440",99%,Quantum VaR,0.005702436495593572,0.010000000000000009,0.5702436495593567,0.03429717436919377,1.2575015406190992e-05,2.4171379
"AUDUSD1440, EURUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.04821150855365474,0.050000000000000044,0.964230171073094,0.0018710282907281606,0.47298998732185027,0.0001528
"AUDUSD1440, EURUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.05443234836702955,0.050000000000000044,1.08864696734059,0.0006782132074175662,0.33811290650210457,0.0001696
"AUDUSD1440, EURUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.04872991187143598,0.050000000000000044,0.9745982374287188,0.0018334966251047913,0.05222263057347365,0.055403
"AUDUSD1440, EURUSD1440, USDJPY1440",95%,Quantum VaR,0.007257646448937273,0.050000000000000044,0.14515292897874532,0,0.65086723042511,1.9974946
"AUDUSD1440, EURUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.012441679626749611,0.010000000000000009,1.24416796267496,0.21159812554971846,0.30414206235512065,0.0002328
"AUDUSD1440, EURUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.01866251944012442,0.010000000000000009,1.86625194401244,0.0004354991161775734,0.03130923938210617,0.000269
"AUDUSD1440, EURUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.012960082944530845,0.010000000000000009,1.2960082944530833,0.1508082368849799,0.3325558938052656,0.059283
"AUDUSD1440, EURUSD1440, USDJPY1440",99%,Quantum VaR,0.007257646448937273,0.010000000000000009,0.7257646448937267,0.16794142835781178,0.65086723042511,1.6166895
"AUDUSD1440, GBPUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.052358735095904614,0.050000000000000044,1.0471747019180913,0.0011407681497346278,0.24422579621675644,0.0002034
"AUDUSD1440, GBPUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.05857957490927942,0.050000000000000044,1.1715914981855873,0.0001452921484603742,0.04337790688192389,0.0002379
"AUDUSD1440, GBPUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.055469155002592016,0.050000000000000044,1.1093831000518393,0.0004904328209568432,0.21255833989559336,0.056121
"AUDUSD1440, GBPUSD1440, USDJPY1440",95%,Quantum VaR,0.004665629860031105,0.050000000000000044,0.09331259720062202,0,0.7713955378086813,2.6194779
"AUDUSD1440, GBPUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.012441679626749611,0.010000000000000009,1.24416796267496,0.21159812554971846,0.43665463637507484,0.0002379
"AUDUSD1440, GBPUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.01658890616899948,0.010000000000000009,1.6588906168999467,0.00551736844420736,0.11338726221965234,0.0002656
"AUDUSD1440, GBPUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.012441679626749611,0.010000000000000009,1.24416796267496,0.21159812554971846,0.43665463637507484,0.064468
"AUDUSD1440, GBPUSD1440, USDJPY1440",99%,Quantum VaR,0.004665629860031105,0.010000000000000009,0.46656298600311,0.007735402772788058,0.7713955378086813,1.9032793
"EURUSD1440, GBPUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.05184033177812338,0.050000000000000044,1.0368066355624668,0.001263823438226952,0.9307161949641017,0.0001502
"EURUSD1440, GBPUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.04821150855365474,0.050000000000000044,0.964230171073094,0.0018710282907281606,0.24543859158003367,0.0001763
"EURUSD1440, GBPUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.04872991187143598,0.050000000000000044,0.9745982374287188,0.0018334966251047913,0.8398496050750878,0.057284
"EURUSD1440, GBPUSD1440, USDJPY1440",95%,Quantum VaR,0.006220839813374806,0.050000000000000044,0.12441679626749601,0,0.698235340155497,2.1062895
"EURUSD1440, GBPUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.013996889580093312,0.010000000000000009,1.39968895800933,0.06880129451555628,0.39260994041823327,0.0002809
"EURUSD1440, GBPUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.01347848626231208,0.010000000000000009,1.3478486262312068,0.10363288753881539,0.36206366767698916,0.000296
"EURUSD1440, GBPUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.010368066355624676,0.010000000000000009,1.0368066355624668,0.5129250389582162,0.2023749524407653,0.041142
"EURUSD1440, GBPUSD1440, USDJPY1440",99%,Quantum VaR,0.006220839813374806,0.010000000000000009,0.62208398133748,0.06299680620962977,0.698235340155497,1.2565323
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",95%,Historical Simulation VaR,0.05650596163815448,0.050000000000000044,1.1301192327630887,0.00034028140038033783,0.4508657389054219,0.000154
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",95%,Parametric (Variance-Covariance) VaR,0.05857957490927942,0.050000000000000044,1.1715914981855873,0.0001452921484603742,0.0951992766991343,0.0001784
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",95%,Monte Carlo VaR,0.058061171591498185,0.050000000000000044,1.1612234318299626,0.00018240012590131638,0.08505087959416191,0.050357
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",95%,Quantum VaR,0.19491964748574392,0.050000000000000044,3.898392949714875,,,2.4995603
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",99%,Historical Simulation VaR,0.012960082944530845,0.010000000000000009,1.2960082944530833,0.1508082368849799,0.04135690774855383,0.0002701
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",99%,Parametric (Variance-Covariance) VaR,0.01503369621565578,0.010000000000000009,1.5033696215655767,0.027494359689854586,0.076425156783545,0.000321
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",99%,Monte Carlo VaR,0.011923276308968377,0.010000000000000009,1.1923276308968367,0.28538466924848116,0.27687322638621237,0.040882
"AUDUSD1440, EURUSD1440, GBPUSD1440, USDJPY1440",99%,Quantum VaR,0.19491964748574392,0.010000000000000009,19.491964748574375,,,1.4417765
